Numero de Paginas,Densidad Informacion (%),Fechas Detectadas (Count),Tamaño cuerpo probable,Variedad de fuentes,Variedad de tamaños,Uso de negritas (estimado %),Uso de cursivas (estimado %),Porcentaje Lenguaje Técnico,LinkedIn,GitHub,Website/Otro,Cantidad de imágenes,Tiene Elementos Graficos,Lineas_education,Lineas_work_experience,Lineas_skills,Lineas_certifications,Lineas_achievements,Lineas_professional_profile,Lineas_languages,Lineas_projects,Lineas_publications,Lineas_training_courses,Lineas_volunteer_work,Seccion_languages,Seccion_publications,Seccion_training_courses,texto_extraido_len,Promedio tamaño fuente,Formato Texto (Lineas)_Párrafos,Formato Texto (Lineas)_Viñetas,Orden Temporal_Orden Temporal Detectado,Formato Fecha Más Común_MM-YYYY,Formato Fecha Más Común_MM/YYYY,Formato Fecha Más Común_Mon YYYY (EN),Formato Fecha Más Común_YYYY,Fuente principal_ArialMT,Fuente principal_Calibri,Fuente principal_Otra,Fuente principal_Tahoma,Legibilidad general_Buena,Consistencia tamaños fuente_Consistente,Consistencia márgenes (aprox)_Consistente,Uso de colores (texto)_Sí,Uso de colores (dibujos)_Sí,Deteccion Foto Perfil_Posible Foto Detectada,secciones_completas,Ratio_Lineas_Experiencia_len,Passed
2,6.21,1,11,2,4,37.0,100.0,2.33,0,0,0,0,1,3,6,0,0,0,23,4,0,0,0,0,1,1,0,4150,16.25,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,7,0.0014457831325301205,1
3,8.42,1,10,6,3,40.4,11.8,12.71,0,0,0,0,1,2,9,18,0,0,2,1,0,107,7,0,1,1,1,8438,11.0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,8,0.001066603460535672,1
2,7.95,6,8,3,4,13.2,100.0,4.12,0,0,0,0,0,7,53,1,4,0,1,0,13,0,0,0,1,1,1,5315,14.75,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,9,0.009971777986829727,1
2,3.86,0,9,5,6,23.8,100.0,9.49,1,1,1,0,0,3,3,13,2,0,0,6,0,1,0,0,1,1,1,2492,13.666666666666666,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,8,0.001203852327447833,1
5,6.69,0,12,10,12,17.5,100.0,2.49,0,0,0,5,1,44,5,61,0,26,0,0,0,0,0,0,1,1,1,10811,15.333333333333334,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,10,0.00046249190639163816,1
4,3.72,0,12,2,3,17.7,0.0,10.25,1,0,1,0,1,12,29,0,0,0,0,0,0,32,17,0,0,1,1,4803,13.666666666666666,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,6,0.006037892983551947,1
3,6.14,1,11,9,6,28.0,3.6,3.65,0,0,1,0,0,20,0,0,0,5,63,3,33,0,0,0,1,1,1,6155,15.833333333333334,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,9,0.0,1
5,6.72,1,9,4,6,0.8,0.0,2.39,0,0,0,11,1,10,8,0,0,34,22,0,72,8,7,13,1,1,1,11226,9.666666666666666,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,10,0.0007126313914127917,1
3,4.78,0,12,6,4,13.9,92.3,8.67,0,0,0,3,1,3,1,0,7,1,23,1,5,3,0,0,1,1,1,11702,23.25,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,9,8.545547769612032e-05,1
8,1.46,1,5,5,17,3.0,93.6,4.06,0,0,1,27,1,18,1,3,10,0,17,0,3,3,1,0,1,1,1,3932,11.647058823529411,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,8,0.000254323499491353,1
