,Passed,Numero de Paginas,Cantidad de Palabras,Densidad Informacion (%),Fechas Detectadas (Count),Tamaño cuerpo probable,Variedad de fuentes,Variedad de tamaños,Uso de negritas (estimado %),Uso de cursivas (estimado %),Porcentaje Lenguaje Técnico,Porcentaje Lenguaje Genérico,LinkedIn,GitHub,Website/Otro,Cantidad de imágenes,Tiene Elementos Graficos,Lineas_education,Lineas_work_experience,Lineas_skills,Lineas_certifications,Lineas_achievements,Lineas_professional_profile,Lineas_languages,Lineas_projects,Lineas_publications,Lineas_training_courses,Lineas_volunteer_work,Seccion_education,Seccion_work_experience,Seccion_skills,Seccion_certifications,Seccion_achievements,Seccion_professional_profile,Seccion_languages,Seccion_projects,Seccion_publications,Seccion_training_courses,Seccion_volunteer_work,texto_extraido_len,Tamaño de fuente más usado,Promedio tamaño fuente,Formato Texto (Lineas)_Mixto,Formato Texto (Lineas)_Párrafos,Formato Texto (Lineas)_Viñetas,Orden Temporal_Orden Temporal Detectado,Orden Temporal_Pocas Fechas,Formato Fecha Más Común_DD/MM/YYYY,Formato Fecha Más Común_MM-YYYY,Formato Fecha Más Común_MM/YYYY,Formato Fecha Más Común_Mes YYYY (ES Comp),Formato Fecha Más Común_Mon YYYY (EN),Formato Fecha Más Común_Month YYYY (EN),Formato Fecha Más Común_Rango YYYY-YYYY,Formato Fecha Más Común_SpaCy DATE (Sin clasificar),Formato Fecha Más Común_YYYY,Formato Fecha Más Común_YYYY (SpaCy),Fuente principal_ArialMT,Fuente principal_Calibri,Fuente principal_Lato-Regular,Fuente principal_OpenSans-Regular,Fuente principal_Otra,Fuente principal_Roboto-Regular,Fuente principal_Tahoma,Legibilidad general_Buena,Legibilidad general_Potencialmente Deficiente,Consistencia tamaños fuente_Consistente,Consistencia tamaños fuente_Inconsistente,Consistencia márgenes (aprox)_Consistente,Consistencia márgenes (aprox)_Inconsistente,Uso de colores (texto)_No,Uso de colores (texto)_Sí,Uso de colores (dibujos)_No,Uso de colores (dibujos)_Sí,Deteccion Foto Perfil_No se detectaron imágenes candidatas,Deteccion Foto Perfil_Posible Foto Detectada,secciones_completas
0,1,2,493,5.71,3,12,7,5,34.4,91.7,3.72,96.28,1,0,1,0,0,6,2,26,0,0,0,0,9,0,0,0,1,1,1,1,0,1,0,1,1,1,0,3692,12,16.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,7
1,1,1,388,8.09,1,9,1,1,0.0,100.0,9.61,90.39,0,0,1,9,1,8,12,3,0,0,3,1,0,7,0,0,1,1,1,1,0,1,1,1,1,1,0,2703,9,9.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,8
2,1,1,378,8.27,0,10,3,4,21.8,100.0,8.58,91.42,0,0,0,0,1,3,38,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,2761,10,13.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,9
3,1,4,656,3.54,2,10,4,12,16.2,100.0,6.67,93.33,0,0,0,3,1,25,8,3,0,0,0,17,0,0,18,0,1,1,1,0,0,1,1,1,1,1,0,4732,10,14.916666666666666,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,7
4,1,3,160,4.71,0,10,6,7,31.2,5.2,11.29,88.71,1,1,0,5,1,0,7,0,0,2,5,8,2,3,1,0,1,1,1,1,1,1,1,1,1,1,1,4562,10,13.714285714285714,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,10
5,1,10,2355,5.21,3,12,8,7,16.4,6.9,4.75,95.25,0,0,0,0,1,1,8,26,0,0,87,11,8,20,3,0,1,1,1,0,1,1,1,1,1,1,0,16844,12,12.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,8
6,1,4,1129,5.93,0,12,7,4,5.8,100.0,8.05,91.95,0,0,0,0,1,39,2,4,0,39,0,0,21,16,1,0,1,1,1,1,1,1,1,1,1,1,0,7659,12,19.25,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,9
7,1,4,559,3.22,2,10,5,4,16.7,26.9,13.82,86.18,0,0,0,0,0,3,0,4,0,0,61,20,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,4309,10,12.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,7
8,1,3,158,5.09,0,10,6,4,33.7,15.8,18.3,81.7,0,0,0,0,1,2,4,3,3,0,2,13,5,3,1,0,1,1,1,1,1,1,1,1,1,1,0,5106,10,12.75,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,9
9,1,3,683,4.99,0,10,6,5,13.9,5.1,8.85,91.15,0,0,1,0,1,4,1,1,9,0,17,14,17,0,2,0,1,1,1,1,0,1,1,1,1,1,0,4835,10,11.2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,8
10,1,4,1135,5.71,0,11,12,4,13.4,69.4,3.11,96.89,1,0,0,0,0,6,0,43,0,0,3,7,13,33,0,0,1,1,1,0,1,1,1,1,1,1,0,7375,11,11.75,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,8
11,1,6,1333,5.06,0,12,6,4,13.3,100.0,9.23,90.77,0,0,0,0,0,5,19,3,5,0,19,0,2,17,28,0,1,1,1,1,0,1,1,1,1,1,0,9810,12,11.75,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,8
12,1,3,96,3.63,0,11,2,3,21.0,100.0,11.23,88.77,0,0,0,0,1,0,15,1,8,1,0,15,2,7,0,0,1,1,1,1,1,1,1,1,1,1,0,3518,11,15.666666666666666,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,9
13,1,2,112,5.58,0,11,2,4,11.8,0.0,9.32,90.68,1,1,1,0,0,3,8,3,3,1,0,4,0,2,0,2,1,1,1,1,1,1,1,1,1,1,1,3731,11,14.75,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,10
14,1,2,126,9.48,0,10,2,6,41.2,100.0,12.31,87.69,1,1,1,0,0,0,4,0,5,1,0,3,3,1,0,1,1,1,1,1,1,1,1,1,1,1,1,6126,10,10.666666666666666,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,10
