,Passed,Numero de Paginas,Cantidad de Palabras,Densidad Informacion (%),Fechas Detectadas (Count),Tamaño cuerpo probable,Variedad de fuentes,Variedad de tamaños,Uso de negritas (estimado %),Uso de cursivas (estimado %),Porcentaje Lenguaje Técnico,Porcentaje Lenguaje Genérico,LinkedIn,GitHub,Website/Otro,Cantidad de imágenes,Tiene Elementos Graficos,Lineas_education,Lineas_work_experience,Lineas_skills,Lineas_certifications,Lineas_achievements,Lineas_professional_profile,Lineas_languages,Lineas_projects,Lineas_publications,Lineas_training_courses,Lineas_volunteer_work,Seccion_education,Seccion_work_experience,Seccion_skills,Seccion_certifications,Seccion_achievements,Seccion_professional_profile,Seccion_languages,Seccion_projects,Seccion_publications,Seccion_training_courses,Seccion_volunteer_work,texto_extraido_len,Tamaño de fuente más usado,Promedio tamaño fuente,Formato Texto (Lineas)_Mixto,Formato Texto (Lineas)_Párrafos,Formato Texto (Lineas)_Viñetas,Orden Temporal_Orden Temporal Detectado,Orden Temporal_Pocas Fechas,Formato Fecha Más Común_DD/MM/YYYY,Formato Fecha Más Común_MM-YYYY,Formato Fecha Más Común_MM/YYYY,Formato Fecha Más Común_Mes YYYY (ES Comp),Formato Fecha Más Común_Mon YYYY (EN),Formato Fecha Más Común_Month YYYY (EN),Formato Fecha Más Común_Rango YYYY-YYYY,Formato Fecha Más Común_SpaCy DATE (Sin clasificar),Formato Fecha Más Común_YYYY,Formato Fecha Más Común_YYYY (SpaCy),Fuente principal_ArialMT,Fuente principal_Calibri,Fuente principal_Lato-Regular,Fuente principal_OpenSans-Regular,Fuente principal_Otra,Fuente principal_Roboto-Regular,Fuente principal_Tahoma,Legibilidad general_Buena,Legibilidad general_Potencialmente Deficiente,Consistencia tamaños fuente_Consistente,Consistencia tamaños fuente_Inconsistente,Consistencia márgenes (aprox)_Consistente,Consistencia márgenes (aprox)_Inconsistente,Uso de colores (texto)_No,Uso de colores (texto)_Sí,Uso de colores (dibujos)_No,Uso de colores (dibujos)_Sí,Deteccion Foto Perfil_No se detectaron imágenes candidatas,Deteccion Foto Perfil_Posible Foto Detectada,secciones_completas
275,0,5,1348,5.36,2,10,6,7,10.5,29.8,4.36,95.64,0,0,1,0,1,25,21,0,2,20,15,0,12,69,0,0,1,1,1,1,1,1,0,1,1,1,1,8959,10,14.571428571428571,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,9
276,0,2,680,7.42,4,10,4,6,1.0,100.0,2.83,97.17,0,0,1,2,1,0,0,2,0,0,10,10,8,0,0,0,1,1,1,1,0,1,1,1,1,1,1,4964,10,17.166666666666668,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,9
277,0,4,154,4.43,0,11,3,2,11.7,14.9,3.27,96.73,0,0,0,0,1,7,1,1,0,2,2,0,1,13,11,0,1,1,1,0,1,1,1,1,1,1,0,5922,11,10.5,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,8
278,0,2,827,8.88,0,8,4,13,16.5,90.8,7.59,92.41,0,0,0,3,1,4,0,0,0,0,11,1,5,5,2,0,1,1,1,1,0,1,1,1,1,1,0,5934,8,12.923076923076923,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,8
279,0,1,414,8.14,0,9,4,3,11.6,100.0,12.21,87.79,0,0,0,1,1,0,0,0,0,0,27,3,0,10,0,0,1,0,1,1,0,1,1,1,1,1,0,2722,9,15.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,7
280,0,1,323,6.77,3,10,8,10,3.6,4.8,13.19,86.81,0,0,0,5,1,2,0,11,0,0,0,3,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,2260,10,11.4,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,9
281,0,5,184,4.3,0,11,4,2,10.4,3.8,9.0,91.0,1,0,0,1,1,12,0,1,0,0,0,7,6,1,5,0,1,1,1,1,0,1,1,1,1,1,0,6943,11,12.5,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,8
282,0,3,678,5.27,3,9,6,6,38.0,8.4,13.03,86.97,1,1,1,1,0,4,2,0,0,7,5,1,2,0,0,0,1,1,1,1,1,1,1,1,1,1,0,5284,9,9.5,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,9
283,0,2,98,5.68,3,10,4,3,29.1,9.4,10.06,89.94,1,1,0,0,0,9,1,1,2,0,2,2,8,0,0,0,1,1,1,1,0,1,1,1,1,1,0,3674,10,11.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,8
284,0,7,1243,3.86,1,11,3,5,23.0,100.0,3.9,96.1,0,0,0,0,1,14,12,13,0,3,1,0,0,25,36,4,1,1,1,1,1,1,1,1,1,1,1,8741,11,21.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,10
287,0,2,733,8.04,0,9,5,12,34.1,3.4,4.55,95.45,0,0,1,1,1,44,29,35,11,0,5,0,0,9,0,0,1,1,1,1,1,1,0,1,1,1,1,5196,9,15.083333333333334,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,9
288,0,2,409,4.61,0,9,3,5,17.0,100.0,3.6,96.4,1,1,0,0,1,3,5,0,0,1,0,2,1,11,5,0,1,1,1,1,1,1,1,1,1,1,1,3080,9,10.4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,10
